year,offence,incidents_offence
2015,Dangerous or negligent acts (04),7118
2015,"Fraud, deception and related offences (09)",5793
2015,Kidnapping and related offences (05),151
2015,"Offences against government, justice procedures and organisation of crime (15)",11486
2015,Public order and other social code offences (13),33249
2015,"Robbery, extortion and hijacking offences (06)",2574
2015,Theft and related offences (08),75744
2015,Weapons and explosives offences (11),2375
2016,"Attempts/threats to murder, assaults, harassments and related offences (03)",16723
2016,Burglary and related offences (07),18585
2016,Controlled drug offences (10),16017
2016,Damage to property and to the environment  offences (12),22174
2016,Dangerous or negligent acts (04),7691
2016,"Fraud, deception and related offences (09)",4930
2016,Kidnapping and related offences (05),125
2016,"Offences against government, justice procedures and organisation of crime (15)",12379
2016,Public order and other social code offences (13),29200
2016,"Robbery, extortion and hijacking offences (06)",2108
2016,Theft and related offences (08),64498
2016,Weapons and explosives offences (11),2134
2017,"Attempts/threats to murder, assaults, harassments and related offences (03)",18993
2017,Burglary and related offences (07),19209
2017,Controlled drug offences (10),16757
2017,Damage to property and to the environment  offences (12),23134
2017,Dangerous or negligent acts (04),8366
2017,"Fraud, deception and related offences (09)",5402
2017,Kidnapping and related offences (05),131
2017,"Offences against government, justice procedures and organisation of crime (15)",13880
2017,Public order and other social code offences (13),31176
2017,"Robbery, extortion and hijacking offences (06)",2184
2017,Theft and related offences (08),69276
2017,Weapons and explosives offences (11),2379
2018,"Attempts/threats to murder, assaults, harassments and related offences (03)",20191
2018,Burglary and related offences (07),16960
2018,Controlled drug offences (10),18275
2018,Damage to property and to the environment  offences (12),21515
2018,Dangerous or negligent acts (04),8561
2018,"Fraud, deception and related offences (09)",6310
2018,Kidnapping and related offences (05),135
2018,"Offences against government, justice procedures and organisation of crime (15)",16619
2018,Public order and other social code offences (13),31966
2018,"Robbery, extortion and hijacking offences (06)",2444
2018,Theft and related offences (08),66950
2018,Weapons and explosives offences (11),2441
2019,"Attempts/threats to murder, assaults, harassments and related offences (03)",21841
2019,Burglary and related offences (07),16750
2019,Controlled drug offences (10),21309
2019,Damage to property and to the environment  offences (12),21916
2019,Dangerous or negligent acts (04),8702
2019,"Fraud, deception and related offences (09)",7930
2019,Kidnapping and related offences (05),129
2019,"Offences against government, justice procedures and organisation of crime (15)",18119
2019,Public order and other social code offences (13),32390
2019,"Robbery, extortion and hijacking offences (06)",2344
2019,Theft and related offences (08),68195
2019,Weapons and explosives offences (11),2689
2020,"Attempts/threats to murder, assaults, harassments and related offences (03)",19077
2020,Burglary and related offences (07),10886
2020,Controlled drug offences (10),23121
2020,Damage to property and to the environment  offences (12),19519
2020,Dangerous or negligent acts (04),8741
2020,"Fraud, deception and related offences (09)",7865
2020,Kidnapping and related offences (05),136
2020,"Offences against government, justice procedures and organisation of crime (15)",11027
2020,Public order and other social code offences (13),29020
2020,"Robbery, extortion and hijacking offences (06)",1819
2020,Theft and related offences (08),51469
2020,Weapons and explosives offences (11),3093
2021,"Attempts/threats to murder, assaults, harassments and related offences (03)",20354
2021,Burglary and related offences (07),8588
2021,Controlled drug offences (10),19997
2021,Damage to property and to the environment  offences (12),19306
2021,Dangerous or negligent acts (04),8282
2021,"Fraud, deception and related offences (09)",17205
2021,Kidnapping and related offences (05),148
2021,"Offences against government, justice procedures and organisation of crime (15)",12441
2021,Public order and other social code offences (13),28395
2021,"Robbery, extortion and hijacking offences (06)",1740
2021,Theft and related offences (08),46807
2021,Weapons and explosives offences (11),2530
2022,"Attempts/threats to murder, assaults, harassments and related offences (03)",23879
2022,Burglary and related offences (07),9459
2022,Controlled drug offences (10),17288
2022,Damage to property and to the environment  offences (12),21707
2022,Dangerous or negligent acts (04),8231
2022,"Fraud, deception and related offences (09)",11777
2022,Kidnapping and related offences (05),161
2022,"Offences against government, justice procedures and organisation of crime (15)",15632
2022,Public order and other social code offences (13),31294
2022,"Robbery, extortion and hijacking offences (06)",2071
2022,Theft and related offences (08),65912
2022,Weapons and explosives offences (11),2625
2023,"Attempts/threats to murder, assaults, harassments and related offences (03)",23897
2023,Burglary and related offences (07),9567
2023,Controlled drug offences (10),17239
2023,Damage to property and to the environment  offences (12),22436
2023,Dangerous or negligent acts (04),7669
2023,"Fraud, deception and related offences (09)",0
2023,Kidnapping and related offences (05),154
2023,"Offences against government, justice procedures and organisation of crime (15)",15718
2023,Public order and other social code offences (13),28843
2023,"Robbery, extortion and hijacking offences (06)",2615
2023,Theft and related offences (08),73812
2023,Weapons and explosives offences (11),2770
2024,"Attempts/threats to murder, assaults, harassments and related offences (03)",24689
2024,Burglary and related offences (07),9632
2024,Controlled drug offences (10),16115
2024,Damage to property and to the environment  offences (12),22097
2024,Dangerous or negligent acts (04),7463
2024,"Fraud, deception and related offences (09)",0
2024,Kidnapping and related offences (05),179
2024,"Offences against government, justice procedures and organisation of crime (15)",15279
2024,Public order and other social code offences (13),30425
2024,"Robbery, extortion and hijacking offences (06)",2371
2024,Theft and related offences (08),76142
2024,Weapons and explosives offences (11),2933
