year,garda_division,total_incidents,division_detection_rate
2021,Donegal Division,4239,1019.11
2021,Galway Division,7517,734.34
2021,Kerry Division,4300,669.77
2021,Kildare Division,6760,266.27
2021,Kilkenny/Carlow Division,4169,719.6
2021,Laois/Offaly Division,4927,584.53
2021,Limerick Division,9761,356.52
2021,Louth Division,5808,247.93
2021,Mayo Division,2853,1177.71
2021,Meath Division,4942,388.51
2021,Roscommon/Longford Division,2784,948.28
2021,Sligo/Leitrim Division,2658,812.64
2021,Tipperary Division,4828,869.93
2021,Waterford Division,5467,373.15
2021,Westmeath Division,3225,483.72
2021,Wexford Division,4292,615.1
2021,Wicklow Division,4256,479.32
2022,Cavan/Monaghan Division,4790,626.3
2022,Clare Division,2993,681.59
2022,"Co Cork, Cork City Division",491,244.4
2022,"Co Cork, Cork North Division",88,2727.27
2022,"Co Donegal, Donegal Division",90,1333.33
2022,"Co Dublin, D.M.R. Eastern Division",1142,105.08
2022,"Co Kerry, Cork West Division",28,4285.71
2022,"Co Louth, Louth Division",238,504.2
2022,"Co Mayo, Mayo Division",33,3636.36
2022,"Co Tipperary, Tipperary Division",62,1935.48
2022,"Co Waterford, Waterford Division",55,4363.64
2022,"Co. Cork, Cork West Division",81,1481.48
2022,"Co. Kerry, Kerry Division",32,3750.0
2022,"Co. Offaly, Laois/Offaly Division",41,2926.83
2022,"Co. Tipperary, Tipperary Division",19,6315.79
2022,Cork City Division,11692,153.95
2022,Cork North Division,5130,538.01
2022,Cork West Division,2197,1638.6
2022,D.M.R. Eastern Division,6263,76.64
2022,D.M.R. North Central Division,20017,23.98
2022,D.M.R. Northern Division,15770,98.92
2022,D.M.R. South Central Division,17119,35.05
2022,D.M.R. Southern Division,11993,60.04
2022,D.M.R. Western Division,19462,49.33
2022,Donegal Division,4505,958.93
2022,Galway Division,8082,683.0
2022,Kerry Division,5063,568.83
2022,Kildare Division,8094,222.39
2022,Kilkenny/Carlow Division,4509,665.34
2022,Laois/Offaly Division,6134,469.51
2022,Limerick Division,9802,355.03
2022,Louth Division,6034,238.65
2022,Mayo Division,2817,1192.76
2022,Meath Division,5337,359.75
2022,Roscommon/Longford Division,2791,945.9
2022,Sligo/Leitrim Division,2836,761.64
2022,Tipperary Division,5084,826.12
2022,Waterford Division,6230,327.45
2022,Westmeath Division,4035,386.62
2022,Wexford Division,4782,552.07
2022,Wicklow Division,4075,500.61
2023,Cavan/Monaghan Division,4250,647.06
2023,Clare Division,3239,577.34
2023,"Co Cork, Cork City Division",519,211.95
2023,"Co Cork, Cork North Division",95,2315.79
2023,"Co Donegal, Donegal Division",93,1182.8
