offence,year,total_incidents
Kidnapping and related offences (05),2020,136
Kidnapping and related offences (05),2021,148
Kidnapping and related offences (05),2022,161
Kidnapping and related offences (05),2023,154
Kidnapping and related offences (05),2024,179
"Offences against government, justice procedures and organisation of crime (15)",2003,6837
"Offences against government, justice procedures and organisation of crime (15)",2004,6461
"Offences against government, justice procedures and organisation of crime (15)",2005,7787
"Offences against government, justice procedures and organisation of crime (15)",2006,9483
"Offences against government, justice procedures and organisation of crime (15)",2007,10917
"Offences against government, justice procedures and organisation of crime (15)",2008,13191
"Offences against government, justice procedures and organisation of crime (15)",2009,11753
"Offences against government, justice procedures and organisation of crime (15)",2010,11196
"Offences against government, justice procedures and organisation of crime (15)",2011,10018
"Offences against government, justice procedures and organisation of crime (15)",2012,9437
"Offences against government, justice procedures and organisation of crime (15)",2013,9174
"Offences against government, justice procedures and organisation of crime (15)",2014,9785
"Offences against government, justice procedures and organisation of crime (15)",2015,11489
"Offences against government, justice procedures and organisation of crime (15)",2016,12380
"Offences against government, justice procedures and organisation of crime (15)",2017,13885
"Offences against government, justice procedures and organisation of crime (15)",2018,16623
"Offences against government, justice procedures and organisation of crime (15)",2019,18127
"Offences against government, justice procedures and organisation of crime (15)",2020,11036
"Offences against government, justice procedures and organisation of crime (15)",2021,12455
"Offences against government, justice procedures and organisation of crime (15)",2022,15681
"Offences against government, justice procedures and organisation of crime (15)",2023,15778
"Offences against government, justice procedures and organisation of crime (15)",2024,15478
Offences not elsewhere classified (16),2003,1760
Offences not elsewhere classified (16),2004,1800
Offences not elsewhere classified (16),2005,2232
Offences not elsewhere classified (16),2006,2611
Offences not elsewhere classified (16),2007,3075
Offences not elsewhere classified (16),2008,3612
Offences not elsewhere classified (16),2009,3494
Offences not elsewhere classified (16),2010,3482
Offences not elsewhere classified (16),2011,2998
Offences not elsewhere classified (16),2012,3070
Offences not elsewhere classified (16),2013,2733
Offences not elsewhere classified (16),2014,2644
Offences not elsewhere classified (16),2015,2965
Offences not elsewhere classified (16),2016,4144
Offences not elsewhere classified (16),2017,3933
Offences not elsewhere classified (16),2018,3963
Offences not elsewhere classified (16),2019,2892
Offences not elsewhere classified (16),2020,1960
Offences not elsewhere classified (16),2021,1829
Offences not elsewhere classified (16),2022,1750
Offences not elsewhere classified (16),2023,1751
Offences not elsewhere classified (16),2024,2131
Public order and other social code offences (13),2003,45142
Public order and other social code offences (13),2004,47782
Public order and other social code offences (13),2005,55483
Public order and other social code offences (13),2006,56601
Public order and other social code offences (13),2007,60707
Public order and other social code offences (13),2008,62071
Public order and other social code offences (13),2009,57481
Public order and other social code offences (13),2010,54848
Public order and other social code offences (13),2011,48950
Public order and other social code offences (13),2012,43785
Public order and other social code offences (13),2013,36394
Public order and other social code offences (13),2014,32603
Public order and other social code offences (13),2015,33249
Public order and other social code offences (13),2016,29199
Public order and other social code offences (13),2017,31176
Public order and other social code offences (13),2018,31968
Public order and other social code offences (13),2019,32390
Public order and other social code offences (13),2020,30103
Public order and other social code offences (13),2021,43870
Public order and other social code offences (13),2022,31378
Public order and other social code offences (13),2023,28846
Public order and other social code offences (13),2024,30429
Road and traffic offences (14),2003,45568
Road and traffic offences (14),2004,54893
Road and traffic offences (14),2005,69113
Road and traffic offences (14),2006,128779
Road and traffic offences (14),2007,151219
Road and traffic offences (14),2008,168879
Road and traffic offences (14),2009,148933
Road and traffic offences (14),2010,135748
Road and traffic offences (14),2011,114842
Road and traffic offences (14),2012,99636
Road and traffic offences (14),2013,83164
Road and traffic offences (14),2014,80861
Road and traffic offences (14),2015,74338
Road and traffic offences (14),2016,71187
Road and traffic offences (14),2017,71843
Road and traffic offences (14),2018,70412
Road and traffic offences (14),2019,64102
Road and traffic offences (14),2020,60351
Road and traffic offences (14),2021,51466
Road and traffic offences (14),2022,45711
Road and traffic offences (14),2023,41790
Road and traffic offences (14),2024,47678
"Robbery, extortion and hijacking offences (06)",2003,2911
"Robbery, extortion and hijacking offences (06)",2004,2716
"Robbery, extortion and hijacking offences (06)",2005,2423
"Robbery, extortion and hijacking offences (06)",2006,2489
"Robbery, extortion and hijacking offences (06)",2007,2206
"Robbery, extortion and hijacking offences (06)",2008,2329
"Robbery, extortion and hijacking offences (06)",2009,2524
"Robbery, extortion and hijacking offences (06)",2010,3238
"Robbery, extortion and hijacking offences (06)",2011,2953
"Robbery, extortion and hijacking offences (06)",2012,2812
"Robbery, extortion and hijacking offences (06)",2013,2796
"Robbery, extortion and hijacking offences (06)",2014,2649
"Robbery, extortion and hijacking offences (06)",2015,2574
"Robbery, extortion and hijacking offences (06)",2016,2108
"Robbery, extortion and hijacking offences (06)",2017,2184
"Robbery, extortion and hijacking offences (06)",2018,2444
"Robbery, extortion and hijacking offences (06)",2019,2344
"Robbery, extortion and hijacking offences (06)",2020,1819
"Robbery, extortion and hijacking offences (06)",2021,1741
